epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,559.924,1.96099,3.10283,1.81193,0.37292,0.3138,0.24878,0.09907,2.02564,2.55316,1.75916,0.00997984,0.00332661,0.00997984,0.00332661,0.00997984,0.00332661,0.00997984,0.00332661
2,1046.87,1.92233,2.3033,1.71537,0.19481,0.26033,0.13585,0.04882,2.26184,2.73201,2.05765,0.019782,0.00659401,0.019782,0.00659401,0.019782,0.00659401,0.019782,0.00659401
3,1597.75,2.04419,2.32912,1.81075,0.17556,0.27518,0.13228,0.04878,2.2621,2.80543,1.97901,0.0293862,0.00979541,0.0293862,0.00979541,0.0293862,0.00979541,0.0293862,0.00979541
4,2106.1,2.0874,2.31549,1.86464,0.37449,0.35498,0.28028,0.10215,2.19962,2.36988,1.96887,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2599.11,2.02639,2.22013,1.83177,0.45343,0.4163,0.37603,0.14779,2.13285,2.09682,1.88726,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3059.75,1.97257,2.10034,1.77928,0.4811,0.44716,0.43455,0.17928,2.05099,1.97976,1.84394,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3515.33,1.94853,2.0395,1.75865,0.5382,0.46559,0.44676,0.18226,2.0002,1.95191,1.81274,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3954.33,1.9014,1.97077,1.71991,0.51805,0.46585,0.45376,0.18778,1.94974,1.86168,1.76128,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4410.4,1.87591,1.92674,1.7168,0.54777,0.47962,0.47469,0.20088,1.97903,1.84661,1.74751,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4947.52,1.8548,1.89204,1.69126,0.54366,0.53759,0.50145,0.21776,1.90178,1.7443,1.72033,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5499.13,1.84224,1.86875,1.66619,0.58462,0.49369,0.51761,0.22636,1.89079,1.75216,1.71617,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,6058.86,1.82592,1.82801,1.65915,0.58888,0.50926,0.52829,0.23444,1.90357,1.6877,1.69308,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6621.81,1.80175,1.81425,1.65148,0.61676,0.54501,0.56493,0.25014,1.88011,1.63058,1.67788,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,7181.46,1.81571,1.80578,1.65885,0.57033,0.53496,0.54068,0.23586,1.87484,1.63262,1.67823,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,7755.37,1.78214,1.75954,1.63466,0.61651,0.53532,0.57002,0.25321,1.86484,1.637,1.6674,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,8300.74,1.7699,1.73692,1.62815,0.59842,0.53392,0.54982,0.23918,1.89772,1.62658,1.72826,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,8841.93,1.75454,1.70578,1.61031,0.6396,0.54683,0.57774,0.26015,1.86511,1.58801,1.67039,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,9375.02,1.75288,1.72103,1.61622,0.6616,0.56334,0.60328,0.27417,1.84317,1.55835,1.68551,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,9901.99,1.7397,1.69488,1.60397,0.65938,0.55056,0.58648,0.2667,1.87151,1.52696,1.6607,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,10406.4,1.73475,1.68422,1.59971,0.65172,0.5664,0.61284,0.28487,1.8239,1.52348,1.63678,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,10900,1.71577,1.64371,1.58202,0.65855,0.57455,0.61369,0.28288,1.82845,1.50775,1.65672,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,11444.8,1.71041,1.62257,1.57651,0.65795,0.57544,0.61742,0.28226,1.82875,1.50345,1.64621,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,11952.3,1.71013,1.62777,1.57804,0.64699,0.61051,0.63174,0.29565,1.8164,1.45762,1.64664,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,12444.3,1.68334,1.59205,1.56555,0.65126,0.60502,0.63361,0.29184,1.78862,1.47037,1.63176,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,12923.7,1.68404,1.57675,1.5558,0.65576,0.59876,0.6249,0.29222,1.78588,1.46724,1.62318,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,13407.6,1.67903,1.55293,1.54911,0.69924,0.58476,0.64422,0.30541,1.79596,1.40762,1.62918,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,13910.7,1.67215,1.5559,1.54248,0.69444,0.60038,0.64773,0.30832,1.76587,1.39886,1.58829,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,14396,1.66566,1.53803,1.53566,0.68171,0.62198,0.66576,0.31001,1.77042,1.39852,1.59606,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,14846.3,1.65794,1.5286,1.53288,0.69909,0.60562,0.66043,0.31179,1.76943,1.40492,1.60199,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,15316.4,1.64554,1.51287,1.5281,0.7032,0.61249,0.66543,0.31385,1.79218,1.35118,1.61076,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
