epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,38.9149,1.17348,1.10779,1.3297,0.70626,0.59957,0.67275,0.44655,1.30274,1.22785,1.34366,0.00141945,0.00141945,0.00141945
17,41.3466,1.16277,1.15256,1.32496,0.76145,0.65404,0.68699,0.44899,1.31754,1.21996,1.35755,0.00140295,0.00140295,0.00140295
18,43.7665,1.20902,1.16751,1.37156,0.74103,0.61598,0.67697,0.45057,1.29677,1.24542,1.3379,0.00138644,0.00138644,0.00138644
19,46.1971,1.16073,1.14473,1.33672,0.75092,0.60777,0.68454,0.47225,1.27703,1.25249,1.32898,0.00136994,0.00136994,0.00136994
20,48.5893,1.11574,1.11092,1.30026,0.78809,0.62225,0.67451,0.46027,1.28905,1.28292,1.36941,0.00135344,0.00135344,0.00135344
21,50.9675,1.16099,1.1458,1.34675,0.70715,0.65404,0.67418,0.45462,1.29655,1.22584,1.39235,0.00133693,0.00133693,0.00133693
22,53.3494,1.10589,1.06098,1.31157,0.74682,0.64773,0.68722,0.46357,1.2625,1.24687,1.37883,0.00132043,0.00132043,0.00132043
23,55.8071,1.12369,1.06026,1.31429,0.68293,0.67905,0.67826,0.44674,1.30639,1.23883,1.40794,0.00130393,0.00130393,0.00130393
24,58.1986,1.12044,1.03887,1.3104,0.73033,0.69769,0.6981,0.46366,1.29301,1.23309,1.41524,0.00128742,0.00128742,0.00128742
25,60.5804,1.07967,1.04222,1.2966,0.76957,0.69715,0.70082,0.46526,1.23818,1.1059,1.37943,0.00127092,0.00127092,0.00127092
26,62.9532,1.07816,1.02862,1.30361,0.74312,0.6968,0.71941,0.47464,1.26845,1.16135,1.38062,0.00125442,0.00125442,0.00125442
27,65.3517,1.08318,1.04605,1.30871,0.79717,0.65458,0.7195,0.46711,1.21011,1.16031,1.33107,0.00123791,0.00123791,0.00123791
28,67.7145,1.11592,1.04654,1.32699,0.71355,0.71783,0.71776,0.45951,1.2492,1.26836,1.36743,0.00122141,0.00122141,0.00122141
29,70.0956,1.05193,1.01783,1.27299,0.76435,0.68921,0.7275,0.47999,1.27918,1.26335,1.35447,0.00120491,0.00120491,0.00120491
30,72.4857,1.0636,1.03023,1.2872,0.70523,0.71255,0.71763,0.49027,1.26215,1.2272,1.34106,0.0011884,0.0011884,0.0011884
31,74.8962,1.02652,0.99229,1.23609,0.75534,0.68808,0.7059,0.47611,1.26105,1.20592,1.35126,0.0011719,0.0011719,0.0011719
32,77.2992,1.01888,0.95365,1.24018,0.6985,0.68738,0.69935,0.46518,1.25675,1.17564,1.3342,0.0011554,0.0011554,0.0011554
33,79.7213,1.0263,1.00504,1.2567,0.79186,0.64214,0.70142,0.46986,1.307,1.17951,1.40659,0.00113889,0.00113889,0.00113889
34,82.1058,1.02045,0.98019,1.23651,0.7797,0.63474,0.69087,0.45663,1.31579,1.21605,1.42331,0.00112239,0.00112239,0.00112239
35,84.5138,1.0396,0.9866,1.27071,0.83724,0.62734,0.70048,0.46654,1.26455,1.1632,1.39143,0.00110589,0.00110589,0.00110589
36,86.9064,0.99352,0.9644,1.2504,0.81548,0.65527,0.71638,0.47572,1.24498,1.12988,1.35986,0.00108938,0.00108938,0.00108938
37,89.3172,1.01789,0.94045,1.25491,0.79334,0.6728,0.70404,0.46497,1.28589,1.20535,1.36933,0.00107288,0.00107288,0.00107288
38,91.7123,0.99341,0.93144,1.25375,0.80217,0.67662,0.71132,0.46194,1.22229,1.22279,1.33523,0.00105638,0.00105638,0.00105638
39,94.0939,0.99515,0.92309,1.23294,0.7776,0.66649,0.70115,0.45325,1.23848,1.21352,1.35427,0.00103987,0.00103987,0.00103987
40,96.4936,0.98789,0.91958,1.24433,0.74216,0.67739,0.71001,0.47348,1.21747,1.12252,1.33595,0.00102337,0.00102337,0.00102337
41,98.8864,0.98496,0.92299,1.22995,0.69958,0.68975,0.693,0.46055,1.23114,1.13313,1.37708,0.00100687,0.00100687,0.00100687
42,101.28,0.95763,0.91829,1.19462,0.78603,0.65017,0.69802,0.45068,1.24662,1.17691,1.39602,0.000990365,0.000990365,0.000990365
43,103.686,0.96003,0.9339,1.20913,0.7573,0.61889,0.67894,0.4475,1.25688,1.20033,1.3635,0.000973861,0.000973861,0.000973861
44,106.069,0.96502,0.90379,1.19902,0.78328,0.61165,0.68006,0.46059,1.25566,1.16444,1.37629,0.000957358,0.000957358,0.000957358
45,108.444,0.95182,0.90963,1.21351,0.77135,0.6899,0.69742,0.47351,1.24153,1.1773,1.36757,0.000940855,0.000940855,0.000940855
46,110.819,0.92512,0.89902,1.19492,0.71356,0.70455,0.69448,0.4707,1.29063,1.26136,1.39489,0.000924352,0.000924352,0.000924352
47,113.193,0.94715,0.87827,1.16917,0.75428,0.65115,0.70122,0.47672,1.1938,1.21877,1.3222,0.000907848,0.000907848,0.000907848
48,115.575,0.98004,0.92007,1.20815,0.74238,0.70547,0.69635,0.49016,1.19273,1.23115,1.31331,0.000891345,0.000891345,0.000891345
49,117.953,0.92691,0.8666,1.17089,0.73693,0.67893,0.69574,0.47268,1.21975,1.19791,1.33298,0.000874842,0.000874842,0.000874842
50,120.331,0.91806,0.88436,1.18707,0.70343,0.7173,0.69571,0.47909,1.21007,1.17928,1.35695,0.000858338,0.000858338,0.000858338
51,122.777,0.9347,0.90407,1.21122,0.67809,0.70509,0.68805,0.47336,1.247,1.32843,1.35401,0.000841835,0.000841835,0.000841835
52,125.144,0.89574,0.86101,1.16375,0.72086,0.69755,0.68673,0.47154,1.21921,1.28995,1.34807,0.000825332,0.000825332,0.000825332
53,127.521,0.92958,0.85913,1.18469,0.7406,0.70112,0.6932,0.4752,1.2241,1.19908,1.34325,0.000808828,0.000808828,0.000808828
54,129.888,0.8989,0.8293,1.16133,0.78593,0.64796,0.69883,0.47222,1.26637,1.18115,1.40481,0.000792325,0.000792325,0.000792325
55,132.265,0.91822,0.87235,1.18988,0.72373,0.70112,0.70096,0.47123,1.23561,1.18236,1.38607,0.000775822,0.000775822,0.000775822
56,134.628,0.94109,0.85817,1.20623,0.76232,0.6555,0.69235,0.46127,1.22556,1.24121,1.36526,0.000759318,0.000759318,0.000759318
57,137.02,0.9041,0.84522,1.18025,0.74868,0.66306,0.70456,0.47523,1.2269,1.21132,1.34829,0.000742815,0.000742815,0.000742815
58,139.425,0.89912,0.82932,1.18503,0.75192,0.69372,0.70242,0.48945,1.23684,1.16721,1.34499,0.000726312,0.000726312,0.000726312
59,141.818,0.92897,0.82801,1.18219,0.72719,0.66491,0.68217,0.47479,1.25074,1.17891,1.37283,0.000709809,0.000709809,0.000709809
60,144.218,0.90214,0.81094,1.1583,0.74214,0.64773,0.67862,0.46171,1.25525,1.21827,1.36537,0.000693305,0.000693305,0.000693305
61,146.635,0.95412,0.85867,1.20583,0.74199,0.65059,0.67797,0.4602,1.24151,1.17168,1.38224,0.000676802,0.000676802,0.000676802
62,149.027,0.91491,0.81877,1.15736,0.7547,0.65923,0.68372,0.46527,1.20677,1.14278,1.36198,0.000660299,0.000660299,0.000660299
63,151.423,0.90272,0.81983,1.16526,0.7523,0.64719,0.67925,0.45765,1.20583,1.16091,1.33531,0.000643795,0.000643795,0.000643795
64,153.809,0.89827,0.8511,1.16686,0.74513,0.62917,0.67459,0.44948,1.24883,1.21891,1.38285,0.000627292,0.000627292,0.000627292
65,156.21,0.82675,0.79663,1.14422,0.72138,0.67139,0.68631,0.47445,1.2016,1.17642,1.3716,0.000610789,0.000610789,0.000610789
66,158.623,0.85442,0.78009,1.15654,0.71554,0.66772,0.68449,0.46591,1.23584,1.16479,1.41495,0.000594286,0.000594286,0.000594286
67,161.012,0.9033,0.84247,1.1668,0.81243,0.65692,0.6992,0.47419,1.20069,1.14299,1.37905,0.000577782,0.000577782,0.000577782
68,163.409,0.93843,0.86469,1.17828,0.74706,0.64709,0.71492,0.47999,1.19692,1.13789,1.35311,0.000561279,0.000561279,0.000561279
69,165.806,0.88455,0.82073,1.15182,0.69858,0.66911,0.69799,0.47681,1.24522,1.15922,1.39591,0.000544776,0.000544776,0.000544776
70,168.196,0.88067,0.78881,1.14374,0.70089,0.68179,0.68762,0.46826,1.27878,1.18069,1.45583,0.000528272,0.000528272,0.000528272
71,170.594,0.8889,0.81019,1.15966,0.66915,0.71648,0.6784,0.47091,1.26404,1.17104,1.40234,0.000511769,0.000511769,0.000511769
72,172.994,0.81823,0.76301,1.11251,0.68101,0.71248,0.68072,0.47278,1.27989,1.19517,1.39604,0.000495266,0.000495266,0.000495266
73,175.414,0.85571,0.77353,1.14098,0.72058,0.69327,0.69093,0.47751,1.20611,1.14431,1.35814,0.000478762,0.000478762,0.000478762
74,177.822,0.89419,0.81783,1.16264,0.74003,0.6828,0.68771,0.47069,1.23441,1.1959,1.38446,0.000462259,0.000462259,0.000462259
75,180.214,0.89598,0.80341,1.151,0.73742,0.67388,0.67235,0.45558,1.26957,1.2205,1.39879,0.000445756,0.000445756,0.000445756
76,182.617,0.88135,0.81498,1.16376,0.7209,0.66155,0.66928,0.45299,1.26272,1.21429,1.40277,0.000429253,0.000429253,0.000429253
77,185.048,0.85572,0.78489,1.14482,0.72483,0.65194,0.67183,0.45185,1.27835,1.26054,1.42406,0.000412749,0.000412749,0.000412749
78,187.452,0.83053,0.75658,1.12801,0.71314,0.66394,0.67116,0.45786,1.24964,1.27807,1.40235,0.000396246,0.000396246,0.000396246
79,189.905,0.79097,0.74094,1.12338,0.69484,0.71479,0.67565,0.46283,1.23227,1.25849,1.3865,0.000379743,0.000379743,0.000379743
80,192.301,0.84512,0.75658,1.12368,0.72042,0.68579,0.68292,0.46077,1.24498,1.26213,1.37947,0.000363239,0.000363239,0.000363239
81,194.719,0.85409,0.81324,1.16137,0.68773,0.69715,0.67809,0.46331,1.23443,1.24969,1.38481,0.000346736,0.000346736,0.000346736
82,197.114,0.81746,0.73819,1.11748,0.70243,0.68934,0.68187,0.46316,1.23643,1.24631,1.38731,0.000330233,0.000330233,0.000330233
83,199.509,0.8088,0.74701,1.10679,0.67381,0.67968,0.68062,0.46238,1.25339,1.23297,1.39879,0.000313729,0.000313729,0.000313729
84,201.882,0.85195,0.78618,1.12921,0.69101,0.72372,0.68816,0.46682,1.28154,1.25927,1.44057,0.000297226,0.000297226,0.000297226
85,204.262,0.81756,0.76266,1.11958,0.72901,0.7103,0.68809,0.46301,1.26424,1.22525,1.4119,0.000280723,0.000280723,0.000280723
86,206.642,0.80447,0.73994,1.10426,0.69023,0.72042,0.67788,0.45488,1.26005,1.20802,1.40365,0.00026422,0.00026422,0.00026422
87,209.029,0.85599,0.76244,1.13268,0.68401,0.72061,0.67916,0.45594,1.24675,1.20382,1.4162,0.000247716,0.000247716,0.000247716
88,211.406,0.83804,0.73666,1.13871,0.70443,0.70989,0.68278,0.46223,1.24003,1.22272,1.40903,0.000231213,0.000231213,0.000231213
89,213.8,0.78382,0.70918,1.0875,0.67933,0.71952,0.68685,0.46789,1.2275,1.21724,1.39584,0.00021471,0.00021471,0.00021471
90,216.177,0.81109,0.74569,1.1157,0.71683,0.69583,0.69373,0.46486,1.2235,1.20115,1.39214,0.000198206,0.000198206,0.000198206
91,230.056,0.7947,0.74583,1.10833,0.72882,0.67199,0.68668,0.46602,1.22355,1.16999,1.37507,0.000181703,0.000181703,0.000181703
92,232.412,0.78188,0.70468,1.09103,0.75406,0.67795,0.6921,0.46644,1.23693,1.16583,1.37581,0.0001652,0.0001652,0.0001652
93,234.777,0.73843,0.68006,1.06951,0.72694,0.70509,0.68181,0.4647,1.24367,1.17228,1.38274,0.000148696,0.000148696,0.000148696
94,237.126,0.76732,0.67443,1.0822,0.74699,0.70412,0.68018,0.46274,1.25482,1.16839,1.38858,0.000132193,0.000132193,0.000132193
95,239.498,0.75821,0.67247,1.08199,0.72287,0.70286,0.67528,0.46134,1.27762,1.17463,1.4212,0.00011569,0.00011569,0.00011569
96,241.857,0.72613,0.63114,1.05444,0.71578,0.70905,0.67671,0.46432,1.26314,1.17184,1.41195,9.91865e-05,9.91865e-05,9.91865e-05
97,244.218,0.73245,0.65668,1.05854,0.72535,0.69415,0.67491,0.46343,1.24487,1.17567,1.39685,8.26832e-05,8.26832e-05,8.26832e-05
98,246.573,0.73864,0.65078,1.05808,0.73831,0.70905,0.67774,0.45989,1.24683,1.17308,1.40316,6.61799e-05,6.61799e-05,6.61799e-05
99,248.954,0.72632,0.61541,1.06389,0.73753,0.70859,0.66833,0.45943,1.24861,1.18003,1.3999,4.96766e-05,4.96766e-05,4.96766e-05
100,251.306,0.73592,0.64361,1.07114,0.73307,0.70905,0.6693,0.45895,1.25228,1.17297,1.40605,3.31733e-05,3.31733e-05,3.31733e-05
