epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.77303,2.8489,5.36112,2.46751,0.12847,0.16757,0.07744,0.03053,2.84074,4.74372,2.29664,0.000530409,0.000530409,0.000530409
2,5.18409,2.02952,2.63908,1.82086,0.36567,0.41022,0.32832,0.20677,2.04953,2.40208,1.75456,0.00107532,0.00107532,0.00107532
3,7.58144,1.79807,2.03673,1.74992,0.60043,0.50433,0.46545,0.28444,1.73101,1.9801,1.60076,0.00160924,0.00160924,0.00160924
4,9.97233,1.59303,1.71479,1.61622,0.57169,0.48977,0.5105,0.32086,1.72317,1.74568,1.60359,0.00161749,0.00161749,0.00161749
5,12.3702,1.50379,1.60667,1.55474,0.50105,0.5872,0.5588,0.36123,1.63179,1.58349,1.55576,0.00160099,0.00160099,0.00160099
6,14.7629,1.447,1.47176,1.50333,0.58816,0.56814,0.58712,0.37861,1.57957,1.52638,1.54491,0.00158448,0.00158448,0.00158448
7,17.1677,1.41192,1.43743,1.49649,0.6652,0.62563,0.62684,0.37716,1.53712,1.45372,1.50437,0.00156798,0.00156798,0.00156798
8,19.5889,1.39548,1.40435,1.49059,0.60786,0.60804,0.62202,0.39753,1.44344,1.56651,1.46908,0.00155148,0.00155148,0.00155148
9,22.0224,1.34815,1.34889,1.44938,0.67536,0.53744,0.61232,0.40541,1.38237,1.45759,1.41898,0.00153497,0.00153497,0.00153497
10,24.4341,1.31614,1.27411,1.42093,0.69313,0.60065,0.62864,0.41517,1.36764,1.30741,1.40471,0.00151847,0.00151847,0.00151847
11,26.8602,1.29446,1.34236,1.43866,0.66257,0.60505,0.65375,0.42193,1.32902,1.39819,1.38539,0.00150197,0.00150197,0.00150197
12,29.2875,1.258,1.28548,1.41699,0.74418,0.56078,0.67244,0.43926,1.32214,1.28556,1.36468,0.00148546,0.00148546,0.00148546
13,31.7014,1.25289,1.24911,1.38183,0.76239,0.55841,0.6546,0.41367,1.36268,1.30587,1.42068,0.00146896,0.00146896,0.00146896
14,34.1058,1.22338,1.17149,1.3669,0.68728,0.63925,0.66402,0.42305,1.3391,1.23771,1.40624,0.00145246,0.00145246,0.00145246
15,36.5213,1.24373,1.2261,1.40852,0.8165,0.58041,0.68011,0.4265,1.34336,1.291,1.37907,0.00143595,0.00143595,0.00143595
