epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1744.24,1.40596,1.09152,1.32666,0.74183,0.64634,0.70468,0.35053,1.69465,1.16866,1.55132,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1798.54,1.38723,1.08077,1.32093,0.74782,0.64643,0.71483,0.35447,1.69988,1.16649,1.5299,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1852.89,1.40295,1.08977,1.32195,0.77289,0.64844,0.71765,0.3594,1.68777,1.14593,1.54039,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1907.25,1.39172,1.06907,1.31209,0.74646,0.64491,0.69747,0.34548,1.70782,1.1651,1.54401,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1961.81,1.38377,1.06096,1.304,0.75709,0.64815,0.71086,0.35462,1.69029,1.14017,1.53678,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2016.58,1.38506,1.05728,1.31274,0.72785,0.67032,0.70764,0.35229,1.68882,1.15201,1.54149,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2070.96,1.37517,1.05639,1.31057,0.75117,0.64928,0.70285,0.35528,1.69622,1.13337,1.54223,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2125.32,1.36566,1.04132,1.29966,0.73135,0.66066,0.70365,0.35259,1.70251,1.1431,1.54781,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2179.68,1.35373,1.03526,1.30373,0.77392,0.63338,0.71127,0.3558,1.69993,1.12973,1.54517,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2233.97,1.35674,1.03318,1.29779,0.74269,0.65778,0.70734,0.35676,1.68256,1.13839,1.53519,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2288.29,1.3529,1.01779,1.29635,0.75127,0.66887,0.7187,0.36198,1.67504,1.1205,1.52408,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2342.72,1.34038,1.01042,1.28878,0.75158,0.66462,0.71509,0.3638,1.66463,1.12643,1.51929,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2396.94,1.34006,1.00091,1.28025,0.75895,0.66318,0.71287,0.36114,1.68132,1.12552,1.52247,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2451.17,1.33572,1.0064,1.27914,0.77362,0.64417,0.71727,0.36291,1.68018,1.10298,1.53765,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2505.3,1.33778,1.00456,1.2841,0.77571,0.66729,0.72388,0.36469,1.67428,1.09731,1.52437,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2559.61,1.31812,0.99067,1.27013,0.76368,0.65846,0.71458,0.36542,1.66056,1.09659,1.52283,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2614.03,1.31853,0.99259,1.26883,0.75969,0.66657,0.71885,0.36912,1.66694,1.09951,1.54045,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2668.32,1.31909,0.97927,1.26843,0.75186,0.66876,0.71786,0.3661,1.65972,1.10279,1.52193,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2722.74,1.30845,0.9707,1.26161,0.76212,0.66366,0.72126,0.36735,1.67635,1.08583,1.53996,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2776.92,1.30237,0.96752,1.2557,0.7739,0.6607,0.72017,0.36865,1.65316,1.0857,1.51381,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2831.16,1.29642,0.96262,1.25949,0.75415,0.66313,0.71996,0.36546,1.66669,1.09855,1.53076,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2885.38,1.28288,0.95164,1.25251,0.75744,0.67347,0.71771,0.37025,1.66551,1.09014,1.53473,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2939.62,1.28913,0.94209,1.24736,0.77003,0.66384,0.7295,0.37394,1.66606,1.088,1.52085,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2993.87,1.2852,0.94505,1.25085,0.76032,0.67481,0.72895,0.37186,1.66157,1.08844,1.52765,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3048.22,1.27365,0.92423,1.23698,0.76564,0.67744,0.72462,0.36924,1.67027,1.08042,1.53131,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3102.54,1.27607,0.92131,1.23942,0.75711,0.68226,0.72484,0.37319,1.66399,1.06328,1.5239,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3156.84,1.2689,0.92016,1.23286,0.75676,0.6776,0.72505,0.37246,1.64528,1.06925,1.51284,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
