epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
13,703.356,1.78714,1.75361,1.63564,0.61061,0.53334,0.56625,0.25459,1.88095,1.64531,1.70243,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,756.633,1.77779,1.73954,1.62859,0.65171,0.56245,0.59404,0.26686,1.87581,1.5796,1.67375,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,809.53,1.76042,1.70967,1.61489,0.6436,0.56345,0.5859,0.26346,1.86164,1.57022,1.69535,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,862.889,1.75776,1.69599,1.61063,0.66696,0.57371,0.6116,0.26968,1.83499,1.54307,1.67516,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,916.273,1.7439,1.65893,1.60725,0.64326,0.5685,0.59188,0.26761,1.84339,1.55919,1.65833,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,970.067,1.72688,1.65915,1.59663,0.6577,0.57305,0.60938,0.27796,1.83382,1.5281,1.64968,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1025.06,1.71579,1.62497,1.57491,0.67955,0.58062,0.61897,0.28192,1.8379,1.48154,1.6484,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1081.39,1.71343,1.60698,1.57875,0.67948,0.56786,0.61769,0.28096,1.82835,1.52691,1.65991,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1137.91,1.6939,1.60429,1.57321,0.68646,0.58451,0.62634,0.28941,1.822,1.46984,1.63098,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1194.34,1.68782,1.58719,1.56475,0.68136,0.59165,0.63047,0.29659,1.80617,1.47623,1.66141,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1249.12,1.6768,1.57394,1.55434,0.68013,0.59156,0.64286,0.30315,1.78296,1.43058,1.62818,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,52.2877,1.67699,1.54356,1.55186,0.70874,0.59078,0.64091,0.30093,1.80882,1.42526,1.64161,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,104.105,1.66417,1.53218,1.54293,0.68738,0.60077,0.64439,0.30206,1.76551,1.40177,1.59605,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,156.067,1.65217,1.52216,1.5299,0.72355,0.58744,0.65356,0.30273,1.77632,1.42722,1.62299,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,208.109,1.63434,1.49162,1.52122,0.69845,0.58239,0.64713,0.30841,1.78939,1.39342,1.62645,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,53.4772,1.58573,1.41057,1.48446,0.72285,0.6069,0.66232,0.31087,1.79761,1.35435,1.63015,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,105.794,1.56045,1.37688,1.47068,0.71453,0.60928,0.66543,0.31167,1.80142,1.34528,1.62807,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,157.838,1.54954,1.37261,1.45944,0.70408,0.59962,0.65875,0.30622,1.78395,1.38476,1.63696,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,209.849,1.53884,1.34994,1.45373,0.70579,0.62157,0.6675,0.31115,1.78481,1.34571,1.61713,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,261.908,1.6248,1.44148,1.50203,0.6927,0.6343,0.67575,0.31811,1.76186,1.33332,1.6072,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,314.351,1.61442,1.42611,1.50596,0.70048,0.62956,0.67707,0.32213,1.77778,1.32434,1.61012,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,366.686,1.59571,1.42282,1.49085,0.70367,0.62374,0.67605,0.32488,1.75191,1.32962,1.59633,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,418.923,1.5835,1.39331,1.48032,0.70481,0.6205,0.67744,0.32998,1.77004,1.30985,1.60028,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,471.174,1.57092,1.37762,1.46878,0.72646,0.62524,0.68773,0.33999,1.7412,1.29603,1.57715,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,523.409,1.57476,1.37108,1.46419,0.69261,0.64186,0.69316,0.3364,1.72198,1.29291,1.57716,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,575.597,1.57091,1.34676,1.45888,0.72728,0.63253,0.69011,0.33397,1.7443,1.28874,1.58558,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,627.814,1.55482,1.32842,1.46108,0.73833,0.63481,0.69696,0.33645,1.72285,1.26316,1.57503,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,680.101,1.55249,1.3234,1.45362,0.75515,0.62931,0.69925,0.33772,1.72544,1.26062,1.5758,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,732.279,1.53999,1.32545,1.44602,0.73358,0.63944,0.69503,0.34126,1.72581,1.24873,1.57298,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,54.2275,1.49103,1.25525,1.41653,0.74951,0.62931,0.69857,0.34555,1.73111,1.21936,1.58344,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,108.875,1.47105,1.22015,1.39826,0.74373,0.64051,0.69789,0.33974,1.75111,1.21646,1.59156,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,165.078,1.46138,1.20778,1.3913,0.73491,0.65196,0.70685,0.34308,1.72905,1.21772,1.58666,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,223.58,1.4462,1.19143,1.383,0.7371,0.6528,0.70892,0.34488,1.73742,1.19001,1.5833,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,277.344,1.4758,1.22596,1.39843,0.727,0.63762,0.70487,0.34707,1.71515,1.19534,1.57086,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,331.592,1.47644,1.21144,1.40328,0.73489,0.64869,0.71037,0.34535,1.72421,1.20803,1.57016,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,385.033,1.46047,1.207,1.38936,0.7316,0.66643,0.70719,0.35126,1.69501,1.19323,1.55876,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,437.368,1.44701,1.18384,1.38148,0.74642,0.63888,0.71191,0.35267,1.7142,1.17978,1.5741,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,489.675,1.43706,1.17675,1.37978,0.74587,0.66383,0.71815,0.35711,1.70644,1.16763,1.55904,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,541.724,1.43895,1.16527,1.36963,0.72737,0.66794,0.71979,0.35928,1.69286,1.17043,1.55008,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,593.807,1.43577,1.15191,1.36551,0.7272,0.66027,0.71225,0.35472,1.69599,1.17489,1.55079,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,645.852,1.42275,1.13804,1.36725,0.72711,0.67567,0.71772,0.36057,1.69319,1.15168,1.55525,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,698.119,1.42102,1.13796,1.36227,0.71348,0.68502,0.72249,0.35879,1.7101,1.13694,1.55642,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,750.412,1.42084,1.14249,1.36278,0.73418,0.66679,0.71475,0.36106,1.69547,1.15135,1.55511,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,803.336,1.45433,1.15936,1.37927,0.73633,0.67009,0.72115,0.36298,1.67723,1.14368,1.53873,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,856.014,1.44427,1.15768,1.36901,0.75259,0.66124,0.73392,0.36535,1.6734,1.14537,1.53499,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,908.542,1.43588,1.14153,1.36707,0.7362,0.65932,0.71882,0.36124,1.6801,1.14603,1.54435,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,961.152,1.42978,1.14943,1.36408,0.75652,0.66209,0.72875,0.36556,1.66886,1.13114,1.54053,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,1014.2,1.42356,1.12406,1.35144,0.76109,0.671,0.7363,0.371,1.66057,1.12042,1.52837,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,1067.46,1.41549,1.11214,1.34767,0.74938,0.66952,0.73574,0.37055,1.66628,1.11749,1.53173,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,1120.37,1.39999,1.11831,1.34163,0.76119,0.6639,0.73229,0.36677,1.67114,1.12095,1.5333,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,1173.72,1.40242,1.09478,1.33779,0.75523,0.6767,0.72884,0.36319,1.66954,1.122,1.53198,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,1227.45,1.397,1.08232,1.33288,0.76969,0.65363,0.73408,0.36866,1.65974,1.11835,1.52551,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,1281.28,1.40438,1.08962,1.33711,0.76887,0.66046,0.73476,0.37108,1.65587,1.11819,1.52146,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,1333.76,1.39723,1.08225,1.32913,0.76777,0.66498,0.73417,0.37154,1.656,1.11463,1.52618,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,1386.06,1.38606,1.08342,1.32693,0.77489,0.65781,0.73567,0.37293,1.64866,1.10228,1.52027,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,1438.49,1.37761,1.05848,1.32028,0.74879,0.6827,0.73682,0.37345,1.65939,1.09675,1.52851,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,1491.13,1.37626,1.05729,1.31813,0.76052,0.68233,0.73987,0.37488,1.65856,1.09386,1.5276,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,1543.63,1.35704,1.05061,1.30669,0.76254,0.68203,0.74076,0.37528,1.6535,1.10093,1.52366,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,1596.03,1.35909,1.0323,1.30822,0.74808,0.68769,0.74,0.37535,1.65653,1.09382,1.51982,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,1648.27,1.35219,1.02264,1.30791,0.74973,0.68292,0.73388,0.37217,1.66272,1.09754,1.52829,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,1700.5,1.34039,1.02402,1.29859,0.7708,0.67949,0.74091,0.37236,1.66508,1.08331,1.53276,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,1752.68,1.33582,1.0106,1.2885,0.76906,0.68267,0.73975,0.37376,1.65967,1.08504,1.52849,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,1805.06,1.33603,1.00876,1.28854,0.77498,0.67441,0.7384,0.3741,1.6519,1.08141,1.51966,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,1857.42,1.34563,0.99804,1.28774,0.77962,0.67296,0.73973,0.37351,1.65445,1.0767,1.51907,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,1909.74,1.32535,0.9888,1.28183,0.7737,0.68401,0.74262,0.37591,1.65144,1.07062,1.51895,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,53.2233,1.2706,0.9287,1.254,0.77711,0.68077,0.74205,0.37568,1.65721,1.06858,1.52782,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,52.8317,1.18594,0.85913,1.2144,0.7718,0.68214,0.73886,0.37199,1.67282,1.0741,1.54805,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,104.48,1.26579,0.91272,1.24743,0.77176,0.68464,0.74077,0.37586,1.67039,1.06453,1.54438,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,156.028,1.24927,0.91418,1.23589,0.76047,0.68632,0.74081,0.37394,1.66314,1.0671,1.54018,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,209.075,1.23251,0.89698,1.23548,0.75963,0.68959,0.74166,0.37612,1.65749,1.06611,1.5416,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,260.788,1.25345,0.91122,1.24192,0.76194,0.69645,0.74397,0.37595,1.65608,1.062,1.54209,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,312.423,1.25054,0.90184,1.24674,0.76382,0.69079,0.7401,0.37487,1.65644,1.06037,1.54212,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,364.114,1.22807,0.88551,1.22576,0.75989,0.69728,0.73973,0.37586,1.65301,1.05998,1.53623,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,415.888,1.22687,0.87508,1.2288,0.76099,0.69132,0.73895,0.37794,1.65608,1.06138,1.54209,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,467.579,1.21256,0.87053,1.22015,0.75875,0.69349,0.74093,0.37658,1.65971,1.05894,1.54526,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,519.544,1.211,0.8678,1.21645,0.76547,0.6928,0.74147,0.37697,1.65869,1.06098,1.54598,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,571.353,1.20506,0.85305,1.21094,0.76448,0.69397,0.74061,0.37692,1.66053,1.05911,1.54937,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,623.046,1.1966,0.84538,1.21252,0.77871,0.67906,0.73872,0.3773,1.66391,1.05517,1.55296,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,691.562,1.24957,0.80789,1.24478,0.79304,0.67188,0.73959,0.3772,1.66485,1.0545,1.55419,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,742.803,1.21439,0.77101,1.21657,0.78826,0.67408,0.74084,0.37766,1.66576,1.05456,1.55346,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,794.209,1.19712,0.76388,1.21063,0.77985,0.6785,0.74042,0.37755,1.66448,1.05632,1.55166,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,845.678,1.19514,0.74291,1.20755,0.78984,0.67846,0.74165,0.37648,1.66385,1.05579,1.5501,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,897.014,1.18143,0.74409,1.19858,0.78239,0.67974,0.73925,0.37618,1.66351,1.05354,1.551,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,948.155,1.17716,0.73503,1.19899,0.78441,0.6792,0.74139,0.37632,1.66336,1.05141,1.55261,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,999.241,1.1598,0.72106,1.18774,0.78724,0.67893,0.74163,0.37666,1.66416,1.05,1.55431,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,1050.58,1.15273,0.71727,1.18433,0.78344,0.68168,0.74288,0.37658,1.66334,1.04977,1.55381,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,1101.88,1.15383,0.71656,1.18489,0.77868,0.68716,0.74382,0.37649,1.6644,1.04847,1.55574,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,1153.21,1.139,0.70694,1.17745,0.78324,0.68185,0.74408,0.37661,1.66464,1.04835,1.55732,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
