epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,57.6122,1.97208,3.06947,1.80644,0.41132,0.35285,0.31553,0.12741,2.12675,2.59793,1.82993,0.00997984,0.00332661,0.00997984,0.00332661,0.00997984,0.00332661,0.00997984,0.00332661
2,112.136,1.91624,2.26396,1.70735,0.32793,0.38071,0.27762,0.10545,2.12403,2.36391,1.96214,0.019782,0.00659401,0.019782,0.00659401,0.019782,0.00659401,0.019782,0.00659401
3,166.136,2.0103,2.26158,1.79536,0.28421,0.31285,0.20012,0.06882,2.2569,2.45378,1.98814,0.0293862,0.00979541,0.0293862,0.00979541,0.0293862,0.00979541,0.0293862,0.00979541
4,219.653,2.04964,2.25538,1.85173,0.35115,0.33114,0.28278,0.10407,2.21692,2.39482,1.95108,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,273.048,2.0009,2.15406,1.80434,0.49234,0.42835,0.38803,0.14825,2.0735,2.03966,1.83293,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,326.233,1.94095,2.06137,1.77522,0.4793,0.451,0.41108,0.17394,2.00665,1.99624,1.83676,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,379.539,1.91153,2.00026,1.73579,0.53762,0.46347,0.4563,0.1903,2.05885,1.86768,1.80595,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,432.505,1.87256,1.92909,1.71456,0.54961,0.50457,0.49065,0.20286,1.96609,1.8332,1.77429,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,487.219,1.84225,1.8958,1.70254,0.57415,0.52725,0.52662,0.22828,1.90992,1.73916,1.71241,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,542.764,1.82844,1.84781,1.68333,0.60379,0.53855,0.55092,0.24263,1.89545,1.63934,1.73703,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,596.692,1.81832,1.81661,1.66543,0.60458,0.53289,0.54682,0.23686,1.94256,1.67937,1.73874,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,650.144,1.80432,1.78483,1.66166,0.65107,0.53634,0.58007,0.25932,1.87172,1.64339,1.6941,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
